step:25/652 train_time:1399ms step_avg:55.94ms
step:50/652 train_time:1853ms step_avg:37.05ms
step:75/652 train_time:2302ms step_avg:30.70ms
step:100/652 train_time:2760ms step_avg:27.60ms
step:125/652 train_time:3209ms step_avg:25.67ms
step:150/652 train_time:3666ms step_avg:24.44ms
step:175/652 train_time:4215ms step_avg:24.08ms
step:200/652 train_time:5027ms step_avg:25.14ms
step:225/652 train_time:5834ms step_avg:25.93ms
step:250/652 train_time:6647ms step_avg:26.59ms
step:275/652 train_time:7452ms step_avg:27.10ms
step:300/652 train_time:8266ms step_avg:27.55ms
step:325/652 train_time:9072ms step_avg:27.92ms
step:350/652 train_time:9881ms step_avg:28.23ms
step:375/652 train_time:11023ms step_avg:29.39ms
step:400/652 train_time:12231ms step_avg:30.58ms
step:425/652 train_time:13425ms step_avg:31.59ms
step:450/652 train_time:14627ms step_avg:32.50ms
step:475/652 train_time:15836ms step_avg:33.34ms
step:500/652 train_time:17041ms step_avg:34.08ms
step:525/652 train_time:18823ms step_avg:35.85ms
step:550/652 train_time:20098ms step_avg:36.54ms
step:575/652 train_time:21378ms step_avg:37.18ms
step:600/652 train_time:22653ms step_avg:37.76ms
step:625/652 train_time:23877ms step_avg:38.20ms
step:650/652 train_time:24683ms step_avg:37.97ms
step:651/652 train_time:24707ms step_avg:37.95ms
step:652/652 train_time:24732ms step_avg:37.93ms
step:652/652 val_loss:3.2777 train_time:24898ms step_avg:38.19ms
