step:25/652 train_time:1404ms step_avg:56.15ms
step:50/652 train_time:1841ms step_avg:36.82ms
step:75/652 train_time:2291ms step_avg:30.54ms
step:100/652 train_time:2748ms step_avg:27.48ms
step:125/652 train_time:3197ms step_avg:25.57ms
step:150/652 train_time:3654ms step_avg:24.36ms
step:175/652 train_time:4202ms step_avg:24.01ms
step:200/652 train_time:5013ms step_avg:25.06ms
step:225/652 train_time:5820ms step_avg:25.87ms
step:250/652 train_time:6634ms step_avg:26.54ms
step:275/652 train_time:7443ms step_avg:27.07ms
step:300/652 train_time:8257ms step_avg:27.52ms
step:325/652 train_time:9062ms step_avg:27.88ms
step:350/652 train_time:9869ms step_avg:28.20ms
step:375/652 train_time:11010ms step_avg:29.36ms
step:400/652 train_time:12215ms step_avg:30.54ms
step:425/652 train_time:13407ms step_avg:31.55ms
step:450/652 train_time:14608ms step_avg:32.46ms
step:475/652 train_time:15815ms step_avg:33.30ms
step:500/652 train_time:17021ms step_avg:34.04ms
step:525/652 train_time:18788ms step_avg:35.79ms
step:550/652 train_time:20067ms step_avg:36.48ms
step:575/652 train_time:21345ms step_avg:37.12ms
step:600/652 train_time:22618ms step_avg:37.70ms
step:625/652 train_time:23845ms step_avg:38.15ms
step:650/652 train_time:24650ms step_avg:37.92ms
step:651/652 train_time:24674ms step_avg:37.90ms
step:652/652 train_time:24699ms step_avg:37.88ms
step:652/652 val_loss:3.2752 train_time:24868ms step_avg:38.14ms
