step:25/652 train_time:1379ms step_avg:55.16ms
step:50/652 train_time:1831ms step_avg:36.62ms
step:75/652 train_time:2282ms step_avg:30.42ms
step:100/652 train_time:2739ms step_avg:27.39ms
step:125/652 train_time:3189ms step_avg:25.51ms
step:150/652 train_time:3646ms step_avg:24.31ms
step:175/652 train_time:4195ms step_avg:23.97ms
step:200/652 train_time:5007ms step_avg:25.04ms
step:225/652 train_time:5813ms step_avg:25.84ms
step:250/652 train_time:6625ms step_avg:26.50ms
step:275/652 train_time:7431ms step_avg:27.02ms
step:300/652 train_time:8244ms step_avg:27.48ms
step:325/652 train_time:9050ms step_avg:27.85ms
step:350/652 train_time:9859ms step_avg:28.17ms
step:375/652 train_time:11001ms step_avg:29.34ms
step:400/652 train_time:12212ms step_avg:30.53ms
step:425/652 train_time:13402ms step_avg:31.53ms
step:450/652 train_time:14603ms step_avg:32.45ms
step:475/652 train_time:15813ms step_avg:33.29ms
step:500/652 train_time:17661ms step_avg:35.32ms
step:525/652 train_time:18827ms step_avg:35.86ms
step:550/652 train_time:20102ms step_avg:36.55ms
step:575/652 train_time:21380ms step_avg:37.18ms
step:600/652 train_time:22657ms step_avg:37.76ms
step:625/652 train_time:23882ms step_avg:38.21ms
step:650/652 train_time:24687ms step_avg:37.98ms
step:651/652 train_time:24711ms step_avg:37.96ms
step:652/652 train_time:24736ms step_avg:37.94ms
step:652/652 val_loss:3.2733 train_time:24908ms step_avg:38.20ms
