step:25/656 train_time:1369ms step_avg:54.74ms
step:50/656 train_time:1807ms step_avg:36.15ms
step:75/656 train_time:2258ms step_avg:30.10ms
step:100/656 train_time:2715ms step_avg:27.15ms
step:125/656 train_time:3164ms step_avg:25.32ms
step:150/656 train_time:3621ms step_avg:24.14ms
step:175/656 train_time:4156ms step_avg:23.75ms
step:200/656 train_time:4971ms step_avg:24.86ms
step:225/656 train_time:5777ms step_avg:25.67ms
step:250/656 train_time:6590ms step_avg:26.36ms
step:275/656 train_time:7395ms step_avg:26.89ms
step:300/656 train_time:8209ms step_avg:27.36ms
step:325/656 train_time:9015ms step_avg:27.74ms
step:350/656 train_time:9823ms step_avg:28.07ms
step:375/656 train_time:10931ms step_avg:29.15ms
step:400/656 train_time:12137ms step_avg:30.34ms
step:425/656 train_time:13333ms step_avg:31.37ms
step:450/656 train_time:14536ms step_avg:32.30ms
step:475/656 train_time:15743ms step_avg:33.14ms
step:500/656 train_time:16950ms step_avg:33.90ms
step:525/656 train_time:18741ms step_avg:35.70ms
step:550/656 train_time:20018ms step_avg:36.40ms
step:575/656 train_time:21299ms step_avg:37.04ms
step:600/656 train_time:22578ms step_avg:37.63ms
step:625/656 train_time:23805ms step_avg:38.09ms
step:650/656 train_time:24718ms step_avg:38.03ms
step:655/656 train_time:24832ms step_avg:37.91ms
step:656/656 train_time:24857ms step_avg:37.89ms
step:656/656 val_loss:3.2718 train_time:25018ms step_avg:38.14ms
