step:25/656 train_time:1412ms step_avg:56.47ms
step:50/656 train_time:1865ms step_avg:37.31ms
step:75/656 train_time:2316ms step_avg:30.88ms
step:100/656 train_time:2773ms step_avg:27.73ms
step:125/656 train_time:3222ms step_avg:25.78ms
step:150/656 train_time:3679ms step_avg:24.53ms
step:175/656 train_time:4214ms step_avg:24.08ms
step:200/656 train_time:5028ms step_avg:25.14ms
step:225/656 train_time:5835ms step_avg:25.93ms
step:250/656 train_time:6647ms step_avg:26.59ms
step:275/656 train_time:7454ms step_avg:27.11ms
step:300/656 train_time:8268ms step_avg:27.56ms
step:325/656 train_time:9074ms step_avg:27.92ms
step:350/656 train_time:9884ms step_avg:28.24ms
step:375/656 train_time:10993ms step_avg:29.32ms
step:400/656 train_time:12199ms step_avg:30.50ms
step:425/656 train_time:13395ms step_avg:31.52ms
step:450/656 train_time:14598ms step_avg:32.44ms
step:475/656 train_time:15808ms step_avg:33.28ms
step:500/656 train_time:17015ms step_avg:34.03ms
step:525/656 train_time:18763ms step_avg:35.74ms
step:550/656 train_time:20038ms step_avg:36.43ms
step:575/656 train_time:21317ms step_avg:37.07ms
step:600/656 train_time:22596ms step_avg:37.66ms
step:625/656 train_time:23826ms step_avg:38.12ms
step:650/656 train_time:24739ms step_avg:38.06ms
step:655/656 train_time:24853ms step_avg:37.94ms
step:656/656 train_time:24878ms step_avg:37.92ms
step:656/656 val_loss:3.2742 train_time:25049ms step_avg:38.18ms
