step:25/656 train_time:1335ms step_avg:53.41ms
step:50/656 train_time:1779ms step_avg:35.59ms
step:75/656 train_time:2229ms step_avg:29.72ms
step:100/656 train_time:2686ms step_avg:26.86ms
step:125/656 train_time:3135ms step_avg:25.08ms
step:150/656 train_time:3594ms step_avg:23.96ms
step:175/656 train_time:4126ms step_avg:23.58ms
step:200/656 train_time:4938ms step_avg:24.69ms
step:225/656 train_time:5743ms step_avg:25.53ms
step:250/656 train_time:6558ms step_avg:26.23ms
step:275/656 train_time:7364ms step_avg:26.78ms
step:300/656 train_time:8179ms step_avg:27.26ms
step:325/656 train_time:8984ms step_avg:27.64ms
step:350/656 train_time:9791ms step_avg:27.97ms
step:375/656 train_time:10902ms step_avg:29.07ms
step:400/656 train_time:12108ms step_avg:30.27ms
step:425/656 train_time:13302ms step_avg:31.30ms
step:450/656 train_time:14505ms step_avg:32.23ms
step:475/656 train_time:15715ms step_avg:33.08ms
step:500/656 train_time:16919ms step_avg:33.84ms
step:525/656 train_time:18742ms step_avg:35.70ms
step:550/656 train_time:20020ms step_avg:36.40ms
step:575/656 train_time:21299ms step_avg:37.04ms
step:600/656 train_time:22577ms step_avg:37.63ms
step:625/656 train_time:23807ms step_avg:38.09ms
step:650/656 train_time:24717ms step_avg:38.03ms
step:655/656 train_time:24831ms step_avg:37.91ms
step:656/656 train_time:24855ms step_avg:37.89ms
step:656/656 val_loss:3.2769 train_time:25019ms step_avg:38.14ms
