step:25/656 train_time:1367ms step_avg:54.68ms
step:50/656 train_time:1797ms step_avg:35.93ms
step:75/656 train_time:2246ms step_avg:29.95ms
step:100/656 train_time:2703ms step_avg:27.03ms
step:125/656 train_time:3152ms step_avg:25.22ms
step:150/656 train_time:3611ms step_avg:24.07ms
step:175/656 train_time:4145ms step_avg:23.68ms
step:200/656 train_time:4957ms step_avg:24.78ms
step:225/656 train_time:5763ms step_avg:25.61ms
step:250/656 train_time:6576ms step_avg:26.30ms
step:275/656 train_time:7382ms step_avg:26.84ms
step:300/656 train_time:8196ms step_avg:27.32ms
step:325/656 train_time:9003ms step_avg:27.70ms
step:350/656 train_time:9811ms step_avg:28.03ms
step:375/656 train_time:10922ms step_avg:29.13ms
step:400/656 train_time:12129ms step_avg:30.32ms
step:425/656 train_time:13322ms step_avg:31.35ms
step:450/656 train_time:14523ms step_avg:32.27ms
step:475/656 train_time:15733ms step_avg:33.12ms
step:500/656 train_time:16939ms step_avg:33.88ms
step:525/656 train_time:18659ms step_avg:35.54ms
step:550/656 train_time:19934ms step_avg:36.24ms
step:575/656 train_time:21216ms step_avg:36.90ms
step:600/656 train_time:22493ms step_avg:37.49ms
step:625/656 train_time:23723ms step_avg:37.96ms
step:650/656 train_time:24635ms step_avg:37.90ms
step:655/656 train_time:24750ms step_avg:37.79ms
step:656/656 train_time:24774ms step_avg:37.77ms
step:656/656 val_loss:3.2735 train_time:24941ms step_avg:38.02ms
