step:25/652 train_time:1326ms step_avg:53.02ms
step:50/652 train_time:1783ms step_avg:35.65ms
step:75/652 train_time:2233ms step_avg:29.77ms
step:100/652 train_time:2691ms step_avg:26.91ms
step:125/652 train_time:3140ms step_avg:25.12ms
step:150/652 train_time:3598ms step_avg:23.98ms
step:175/652 train_time:4147ms step_avg:23.70ms
step:200/652 train_time:4963ms step_avg:24.81ms
step:225/652 train_time:5766ms step_avg:25.63ms
step:250/652 train_time:6580ms step_avg:26.32ms
step:275/652 train_time:7385ms step_avg:26.85ms
step:300/652 train_time:8198ms step_avg:27.33ms
step:325/652 train_time:9003ms step_avg:27.70ms
step:350/652 train_time:9811ms step_avg:28.03ms
step:375/652 train_time:10953ms step_avg:29.21ms
step:400/652 train_time:12159ms step_avg:30.40ms
step:425/652 train_time:13353ms step_avg:31.42ms
step:450/652 train_time:14554ms step_avg:32.34ms
step:475/652 train_time:15762ms step_avg:33.18ms
step:500/652 train_time:16964ms step_avg:33.93ms
step:525/652 train_time:18847ms step_avg:35.90ms
step:550/652 train_time:20125ms step_avg:36.59ms
step:575/652 train_time:21406ms step_avg:37.23ms
step:600/652 train_time:22682ms step_avg:37.80ms
step:625/652 train_time:23908ms step_avg:38.25ms
step:650/652 train_time:24714ms step_avg:38.02ms
step:651/652 train_time:24738ms step_avg:38.00ms
step:652/652 train_time:24763ms step_avg:37.98ms
step:652/652 val_loss:3.2732 train_time:24939ms step_avg:38.25ms
