step:25/656 train_time:1378ms step_avg:55.13ms
step:50/656 train_time:1835ms step_avg:36.70ms
step:75/656 train_time:2284ms step_avg:30.46ms
step:100/656 train_time:2741ms step_avg:27.41ms
step:125/656 train_time:3190ms step_avg:25.52ms
step:150/656 train_time:3648ms step_avg:24.32ms
step:175/656 train_time:4182ms step_avg:23.90ms
step:200/656 train_time:4995ms step_avg:24.97ms
step:225/656 train_time:5800ms step_avg:25.78ms
step:250/656 train_time:6612ms step_avg:26.45ms
step:275/656 train_time:7417ms step_avg:26.97ms
step:300/656 train_time:8230ms step_avg:27.43ms
step:325/656 train_time:9038ms step_avg:27.81ms
step:350/656 train_time:9848ms step_avg:28.14ms
step:375/656 train_time:10958ms step_avg:29.22ms
step:400/656 train_time:12164ms step_avg:30.41ms
step:425/656 train_time:13358ms step_avg:31.43ms
step:450/656 train_time:14560ms step_avg:32.36ms
step:475/656 train_time:15767ms step_avg:33.19ms
step:500/656 train_time:16972ms step_avg:33.94ms
step:525/656 train_time:18709ms step_avg:35.64ms
step:550/656 train_time:19986ms step_avg:36.34ms
step:575/656 train_time:21266ms step_avg:36.98ms
step:600/656 train_time:22544ms step_avg:37.57ms
step:625/656 train_time:23775ms step_avg:38.04ms
step:650/656 train_time:24687ms step_avg:37.98ms
step:655/656 train_time:24800ms step_avg:37.86ms
step:656/656 train_time:24825ms step_avg:37.84ms
step:656/656 val_loss:3.2730 train_time:25000ms step_avg:38.11ms
